Prompt,Answer 1,Answer 2,Answer 3,Answer 4
What is something many people do once a week?,Laundry,Grocery Shopping,Church,Eat Out
Name a popular Christmas Carol,Jingle Bells,Silent Night,Deck the Halls,White Christmas
Name a common Halloween Candy,Candy Corn,Reese's,Snickers,Kit Kat
Name a popular dance move,Flossing,The Twist,The Sprinkler,The Dougie
What is a food that todlers typically do not like to eat?,Broccoli,Peas,Spinach,Fish
What is something the average person does twice a day,Brush Teeth,Use Restroom,Eat,Drive
"Besides a bathing suit, what items do you take to the beach?",Towel,Sunscreen,Sunglasses,Cell Phone
What is something you do not want on a picnic?,Insects,Bad Weather,Messy Food,Bears
Name a common Graduation Gift,Money,Gift Cards,Car,Computer
Which state gets the most tourists?,Florida,California,New York,Hawaii
Name a famous commercial mascot,Tony the Tiger,GEICO Gecko,Ronald McDonald,Mr. Clean
Name a fast food resturant that does not serve burgers,Taco Bell,Chick-fil-A,KFC,Subway
Name a Mother's Day gift you would buy at the last minute,Flowers,Card / Gift Card,Chocolate,Jewelry
"Besides gum, what items are displaye in the grocery store checkout lane?",Magazines,Candy / Mints,Chapstick,Drinks
"Besides baseball, name a sport usually played outside",Football,Soccor,Tennis,Golf
Name a household object you often replace,Lightbulbs,Toilet Paper,Sponge,Batteries
Which household chore do you hate the most?,Dishes,Laundry,Clean Bathroom,Dusting
Name smething you shouldn't leave out in the sun,Chocolate,Ice Cream,People,Cell Phone
Name an ABBA song,Dancing Queen,Mamma Mia,Waterloo,Gimmie! Gimmie! Gimmie!
"Besides a horse, name an amial humans can ride",Camel,Elephant,Donkey,Bull
"If you could only eat one food for the rest of your life, what would it be?",Pizza,Tacos,Chicken,Pasta
Name a famous fictional dinosaur,Barney,Littlefoot,Dino,Rex
Name something that makes people look smart,Glasses ,Book,Degree,Well-Dressed
Name something you would steal from a hotel,Toiletries,Towels,Robe,Pens
"Besides fries, what is something commonly ordered with a burger?",Drink,Onion Rings,Tater Tots,Potato Chips
Name a common rainy day activity,Read,Movies / TV,Nap,Board Games
